Type,DesignType, Labels,Latdd,Londd,Lat_Deg,Lat_Min,Lon_Deg,Lon_Min,Operation
BASIS,CoreTrawl,Core Trawl,55.5,-164,55,30,-164,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,56,-165,56,0,-165,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,56,-163,56,0,-163,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,56.5,-166,56,30,-166,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,56.5,-164,56,30,-164,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,56.5,-162,56,30,-162,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,57,-169,57,0,-169,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,57,-167,57,0,-167,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,57,-165,57,0,-165,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,57,-163,57,0,-163,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,57.5,-170,57,30,-170,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,57.5,-168,57,30,-168,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,57.5,-166,57,30,-166,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,57.5,-164,57,30,-164,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,58,-171,58,0,-171,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,58,-169,58,0,-169,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,58,-167,58,0,-167,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,58,-165,58,0,-165,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,58.5,-172,58,30,-172,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,58.5,-170,58,30,-170,0,CTD/BON/TRAWL
